Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Shehroz,24,Female,50,68.9,Quetta,Rejected
Waqar,21,Female,99,60.73,Karachi,NA
Bushra,17,Male,89,NA,Islamabad,Accepted
Aliya,17,Male,55,85.29,Karachi,Rejected
Bilal,20,Male,65,61.13,Lahore,NA
Murtaza,23,Female,NA,NA,Islamabad,Accepted
Asad,18,Male,NA,97.31,Multan,Accepted
Rabia,20,Female,82,55.67,Lahore,Accepted
Rohail,17,Male,64,NA,Karachi,Accepted
Kamran,18,Male,53,98.98,Multan,Rejected
Shafiq,17,Male,78,NA,Quetta,Rejected
Nashit,18,Male,89,NA,Lahore,Accepted
NA,19,Male,66,88.17,NA,NA
Ahmed,21,Male,62,79.03,Karachi,Accepted
Fareeha,22,Male,86,50.77,Islamabad,Rejected
Saim,19,Male,84,97.19,Peshawar,Rejected
Mahnoor,NA,Male,61,74.08,Islamabad,Rejected
Uzma,17,Female,96,93.34,Karachi,Rejected
Maryam,19,Female,74,70.26,Lahore,Accepted
NA,19,Male,84,NA,Islamabad,Rejected
Waqar,22,Male,77,94.02,Peshawar,Rejected
Fatima,NA,Female,79,73.23,Quetta,Rejected
Aliya,NA,Male,NA,54.59,NA,NA
NA,21,Male,82,97.21,Karachi,Rejected
Shayan,18,Male,NA,NA,Lahore,Rejected
Imran,20,Female,76,69.27,Peshawar,Rejected
Anum,20,Female,96,62.44,Quetta,Rejected
Bushra,17,Male,89,78.57,Islamabad,Accepted
Laiba,22,Female,57,NA,Rawalpindi,Accepted
Ali,17,Male,74,56.38,Rawalpindi,Rejected
Rehan,19,Female,NA,61.91,Quetta,Rejected
Zara,24,Female,65,91.14,Multan,Rejected
Fatima,24,Female,66,74.8,Peshawar,Rejected
Shayan,24,Male,58,85.41,Multan,Rejected
Feroze,23,Female,51,92.36,NA,Accepted
Ayesha,24,Male,94,98.43,Multan,Rejected
Lubna,21,Female,89,82.57,Multan,Rejected
Ali,17,NA,74,56.38,Rawalpindi,Rejected
Aliya,23,Male,50,85.25,Rawalpindi,Accepted
Rohail,23,NA,78,75.05,Quetta,NA
Feroze,22,Female,50,88.36,Quetta,Rejected
Wajeeha,21,Male,63,74.83,Islamabad,Accepted
Waqar,21,Female,99,60.73,Karachi,Accepted
Maham,19,Female,52,78.67,Multan,Accepted
Qasim,17,Female,95,68.89,Quetta,Rejected
Mehwish,24,Female,84,94.33,Multan,Accepted
Maryam,19,Female,74,NA,Lahore,Accepted
Rohail,23,Female,NA,75.05,Quetta,Accepted
Zara,18,Female,68,65.57,Karachi,Rejected
Shehroz,NA,Female,61,69.48,Quetta,Rejected
Fatima,20,Male,73,62.5,Karachi,NA
Afshan,23,NA,98,76.97,NA,Rejected
Shehroz,22,Female,72,97.84,Lahore,Rejected
Sara,19,Male,68,93.16,Multan,Accepted
Zara,18,Male,52,91.02,Multan,Accepted
Hafsa,23,Female,79,52.39,NA,Accepted
Adeel,20,Female,70,93.36,Lahore,Accepted
Bilal,23,Female,97,70.9,Peshawar,Rejected
Rohail,19,Female,54,52.79,Quetta,Accepted
Hamza,22,Male,99,86.58,Multan,Accepted
Fahad,23,Male,93,90.35,Peshawar,Accepted
Farhan,20,Female,75,79.59,Rawalpindi,Accepted
Shoaib,23,Male,97,54.71,Karachi,Rejected
NA,17,Female,71,54.16,Islamabad,Rejected
Hassan,24,Female,79,75.67,NA,NA
Khurram,17,Male,NA,NA,Rawalpindi,NA
Maryam,22,Female,NA,69.83,Karachi,Rejected
Tuba,17,Female,75,78.43,Peshawar,Accepted
Hafsa,17,Male,73,63.7,Rawalpindi,Accepted
Laiba,20,Male,77,52.67,Islamabad,Rejected
NA,21,Male,95,84.2,Islamabad,NA
Shafiq,18,NA,80,81.3,Quetta,Accepted
Afshan,23,Female,98,NA,Peshawar,Rejected
Kamran,21,Male,73,96.67,Peshawar,Rejected
Sajjad,NA,NA,90,63.04,Quetta,Accepted
Tuba,18,Female,89,71.3,Karachi,Accepted
Kashif,20,Female,91,91.03,Karachi,Accepted
Muneera,19,Female,81,67.75,Karachi,Rejected
Mehwish,18,Female,72,67.51,Quetta,Accepted
Lubna,NA,Female,89,82.57,Multan,Rejected
Muzammil,24,Female,97,62.68,Lahore,Accepted
Muzammil,20,Male,96,51.95,Peshawar,Rejected
Maryam,NA,Female,99,94.59,Islamabad,Accepted
Maham,22,Female,88,98.38,Peshawar,Rejected
Uzma,22,Male,69,83.99,Quetta,Accepted
Laiba,NA,Female,81,81.82,Rawalpindi,Accepted
NA,NA,Male,66,79.07,Rawalpindi,Rejected
Maryam,17,Male,78,77.4,Quetta,Accepted
Umar,22,Male,NA,77.69,NA,Rejected
NA,20,Female,86,89.06,Karachi,Accepted
Rehan,22,Male,51,67.03,Lahore,Rejected
Farzana,22,Male,82,78.3,Multan,Accepted
Nida,18,NA,84,91.92,Quetta,Rejected
Muneera,19,Female,NA,67.75,Karachi,Rejected
Rohail,20,Female,72,66.83,Multan,Rejected
Shehroz,23,Female,82,83.86,Karachi,Rejected
Imran,19,Female,72,64.88,Multan,Accepted
Farhan,22,Female,65,76.72,Multan,Rejected
Shehroz,24,Male,72,90.05,Karachi,Accepted
Asma,22,Female,81,68.86,Islamabad,Accepted
Tariq,19,Female,96,40.7,Rawalpindi,Rejected
Sara,22,NA,95,60.33,Islamabad,Rejected
Junaid,17,Male,56,93.36,Karachi,Rejected
Mehwish,21,Female,91,57.33,Rawalpindi,Accepted
